iteration,d_loss,g_loss,stiffness_k,damping_d
1,0.697669193148613,0.6538404971647263,0.6388351303053628,0.016446595659005473
2,0.7134362459182739,0.6648086891627312,0.6409391442070672,0.016413458386438717
3,0.688316814104716,0.6589024464321136,0.6051851125289668,0.015887790727448416
4,0.6536464720964432,0.6545717375540734,0.7086059722527119,0.01886814287333901
5,0.5551160670816898,0.7895849035048484,0.6953491644139754,0.018335513806840155
6,0.39963951587677005,0.8498973213553429,0.6721497162329176,0.017193369722295744
7,0.24144289284944534,0.8865279318404198,0.6686568971467077,0.016933997261635404
8,0.15556591687103113,0.9122117783498764,0.6635473791105598,0.016661622683419412
9,0.10913279429078102,0.9326207449990511,0.658975974116507,0.01642088101502915
10,0.0808644324541092,0.9470584563592076,0.6513464640839087,0.0160630942129188
11,0.06027671662159264,0.9593773463591934,0.6465244192098899,0.015859585145507994
12,0.04508336173991362,0.9675212505370379,0.6418469535594074,0.015639397167924424
13,0.03523264740490251,0.9737498384989798,0.6383903291229892,0.015480380157863346
14,0.028163459356874233,0.9787789288751781,0.6358598798098447,0.015367982822557164
15,0.02299540163949132,0.9824509506897628,0.6340724318381549,0.015274417345199331
16,0.018875851058824496,0.9855755757435412,0.6316080909341558,0.015156595395984282
17,0.016378479357808826,0.9880268757095187,0.6296770997885172,0.01505712161615738
18,0.013463025252955656,0.9898336859232187,0.627270528857414,0.014953392918760177
19,0.011273830333867899,0.9914327029307186,0.625770926500404,0.01488647350716444
20,0.009518908190407923,0.9928025463354215,0.6239368702962959,0.014800319002573592
