iteration,d_loss,g_loss,stiffness_k,damping_d
1,0.7015842616558075,0.6402018323837221,0.3998553989922241,0.01000053767628981
2,0.6926193058490753,0.6425990541654826,0.39996031870687515,0.009954684908414042
3,0.6773823996384939,0.598957893474102,0.39354109151968064,0.00911792900030251
4,0.6418481178581714,0.4433996915526688,0.4118655642653941,0.0026400258516863745
5,0.695237646996975,0.5847826261869259,0.4031709338105631,0.0026175784600348797
6,0.6935479247570039,0.5731622599794902,0.4027567837944488,0.002616464293552279
7,0.6904922175407411,0.5856989692133665,0.40248376317459467,0.002616118819786371
8,0.6905432134866716,0.5804194796785712,0.40272729898169857,0.0026163163147798767
9,0.690219772713525,0.5804293539607525,0.4034187998055689,0.0026172333164834003
10,0.6895317554473877,0.586792183007449,0.4011471280111058,0.0026134439467791707
11,0.6891755782067776,0.6113262128460407,0.40174250291804997,0.0026150360695298405
12,0.6890014211336771,0.6243251330626011,0.40682593279403134,0.0026399168868441996
13,0.6873828642898137,0.652433349468708,0.40917689206136293,0.0026401911260240402
14,0.6786686217784881,0.5512856906017661,0.41217945342326906,0.0026368806031997804
15,0.6806601023674012,0.5492744854667783,0.42893907034349943,0.0026591519463328066
16,0.6928395509719848,0.5228634664058686,0.5907821669193004,0.0036694038600006674
17,0.46973243678609533,0.6773610379493237,0.5897687315843246,0.0036268381486396772
18,0.3935306999832392,0.7149223174738883,0.5849294061563414,0.0035365580885339445
19,0.3116962867287489,0.31774503815174104,0.6310857024340584,0.0036358198871483277
20,0.41009213770074504,0.9193878521931171,0.6295468733261423,0.003628480794464303
