iteration,d_loss,g_loss,k1,d1
1,0.7067148715257645,0.6486831120753288,0.1999999178242852,0.010000004995943366
2,0.701704341173172,0.654106667702198,0.1999999163103279,0.010000026247058976
3,0.6994022985299428,0.6576446021986008,0.19999942642174953,0.009999958219913492
4,0.709958016872406,0.6586495351529121,0.20000035501511618,0.009999904995952326
5,0.6979632452130318,0.6604544347381592,0.20000070003870468,0.009999871532252106
6,0.6957875204086303,0.6662493188881874,0.20000135137656921,0.00999975016214618
7,0.6972739100456238,0.6707066727352142,0.20000119391916926,0.009999705716052592
8,0.6969038218259812,0.6725349228215217,0.20000114143578102,0.009999630799969824
9,0.6949625313282012,0.674519272942543,0.20000111135433946,0.009999615687006696
10,0.6950276332242149,0.6759551734018325,0.20000066795222246,0.009999566632184315
11,0.693199199438095,0.6800010422587395,0.2000002953054701,0.00999952086565393
12,0.6912297149499258,0.6807549005389214,0.20000013429288604,0.00999945652555099
13,0.6920091768105825,0.6818045642125606,0.19999947487840444,0.009999378069071948
14,0.6903147029876708,0.6820265256261826,0.20000074565013173,0.00999909446405788
15,0.6895583045482635,0.6803841014337539,0.2000078382961074,0.010000381762102498
16,0.6885427166115154,0.6756754096317291,0.20000766226604139,0.010000353562585147
17,0.6856530398130417,0.6815463088536262,0.20000739958324937,0.010000255611646636
18,0.684127472837766,0.6806744470334053,0.20000721639360108,0.010000461106678984
19,0.6814014847461993,0.6847188577699661,0.20000735929021496,0.010000416476339001
20,0.6763237386941909,0.6867001891708374,0.200006714036505,0.010000289057081262
21,0.6748129180499485,0.6814209710335731,0.20000566985239532,0.010000234417265401
22,0.6728713075319926,0.6831119071555137,0.2000049869735896,0.010000103094870786
23,0.6700873374938965,0.6892182013487815,0.19998967448007854,0.010001335489809663
24,0.6660022843629122,0.6886416716694832,0.19998929070476143,0.010001211262621944
25,0.6613737611209645,0.6960851450657844,0.1999880251505818,0.010001038299696726
26,0.655547366773381,0.6894142018342018,0.19998700333804106,0.010000875488456022
27,0.6501194526751837,0.7022157817435265,0.1999863060090386,0.01000061062048449
28,0.6455350764487918,0.6908982485795021,0.1999843614165986,0.010000444110002893
29,0.6383560146156111,0.6938148271274567,0.19998205136078037,0.010000233723391469
30,0.6316842848062516,0.7046356500577927,0.1999812764534315,0.010000063177069883
