iteration,d_loss,g_loss,stiffness_k,damping_d
1,0.6788481329679488,0.26544755697250366,0.5029733718731744,0.0005339478839655855
2,0.6988263374567033,0.522523820400238,0.49228689479598137,0.0005866852016690534
3,0.6929280565381051,0.49241435527801514,0.49228689479598137,0.0005866852016690534
4,0.6929273465871814,0.4996630549430847,0.4751483092977649,0.00040441326340740706
5,0.6934484764337542,0.4773029088973999,0.43093624118231266,4.5399929762484854e-05
6,0.6735005391836162,0.3695446252822876,0.44475673257744097,4.5399929762484854e-05
7,0.5753410153388976,0.8216702342033386,0.44475673257744097,4.5399929762484854e-05
8,0.7004153941869734,0.3824772834777832,0.435838503082086,4.5399929762484854e-05
9,0.6817115204334258,0.5217698812484741,0.46384851944393374,4.5399929762484854e-05
10,0.6892798541784289,0.5310685634613037,0.4378792724473846,4.5399929762484854e-05
