iteration,d_loss,g_loss,stiffness_k,damping_d
1,0.6931827888488769,0.49716973304748535,0.3982564853315492,0.001997271666472286
2,0.6602102824449538,0.02570044994354248,1.166341733563108,0.000835741801033833
3,0.5035667527318001,0.16070973873138428,1.2539035106282894,0.0008359179442513086
4,0.22880483476817617,0.05982649326324463,0.06484662841863201,0.0003947561351219561
5,0.315590572014451,0.08884990215301514,0.08257507200073964,0.0005284129362713931
6,0.0817111672833562,0.7903855443000793,0.08310233366526604,0.0005490394845731533
7,0.10372671804204582,0.5310059189796448,0.0006274916925474202,0.002177773398524847
8,0.14717521122097973,0.8824825882911682,0.000646225984131074,0.0027279526453795546
9,0.01505490474868565,0.9809345602989197,0.0006935356818001874,0.002193266790512036
10,0.00785607283562422,0.9923996925354004,0.0006939414327590471,0.002193972437904137
