iteration,d_loss,g_loss,stiffness_k,damping_d
1,0.6926127880811691,0.6054304248762131,0.39996037387086664,0.009998304899014678
2,0.6924388855695724,0.6096111560600996,0.3999558728214449,0.009997961212133142
3,0.6909257570902505,0.6084153754782676,0.39990957299029173,0.009995674474120668
4,0.6885590076446533,0.6118068694385141,0.3999444414859891,0.009996766430326544
5,0.6861244335770607,0.6133124806243181,0.4003238283105948,0.010023480389642613
6,0.6837591338157655,0.6215279579901696,0.40031707883644546,0.010023067615659012
7,0.6743766629695893,0.6397475337100029,0.3999806893960694,0.010019868442564457
8,0.6338251421848933,0.6968411857033521,0.401664201095304,0.010078491792810838
9,0.5208725997379848,0.4688838315463066,0.40220926903968385,0.010118284645440451
10,0.5257381796836852,0.5363600598967075,0.41249246762590336,0.01005354890579533
11,0.47018335163593294,0.3869610163581371,0.41302200763419805,0.010086759411853753
12,0.3578107823928197,0.7822362551951408,0.4130215457368212,0.010086744496795669
13,0.28684271375338233,0.7330617399930954,0.4152952752454269,0.01017505061654824
14,0.2440131361782551,0.8634262668728828,0.4163970698402243,0.010498271562427976
15,0.21014756113290786,0.9027247604715825,0.41635058360086846,0.010504529945553343
16,0.19132562327114017,0.9295558904367686,0.41837830795128705,0.01052690266082825
17,0.15101686641573903,0.9293164793509245,0.41831717294179777,0.010525613489020213
18,0.16248697529857356,0.4033367768107355,0.33312430538365567,0.008383929499126933
19,0.5054052761540964,0.9531478671580553,0.3331239351276246,0.008383912734386463
20,0.17280140633561783,0.951229684021771,0.33313409200320915,0.008384154456794276
