iteration,d_loss,g_loss,k1,k2,k3,d1,d2,d3
1,1.9659841485718972,9.176119375,0.20000625009765927,0.009847272053999904,0.0005000000000000001,0.010124518871445621,0.0017722617497140064,0.00011282267817960168
2,0.02099530603736639,6.257311875004791,0.20297186361380878,0.009828057870732692,0.0005000000000000001,0.010009223000574798,0.001676895312716816,8.869123928827624e-05
3,0.003815561106118062,5.2655425000000005,0.19921716110153584,0.009862285190408096,0.0005000000000000001,0.009968798777303264,0.0016322121517851674,7.325240766831475e-05
4,0.001346475100376665,4.4206188494909915,0.2004959219277412,0.009839197561537404,0.0005000000000000001,0.009967863889059642,0.0015625743428594172,6.286645356247187e-05
5,0.0006695538591884542,3.819629503511128,0.1988532897301339,0.009824987114823025,0.0005000234300138722,0.009988677456513164,0.0015177206751015044,5.577192170861542e-05
6,0.0003635927234427072,3.294677179979987,0.19703853791906234,0.009815703833047886,0.0005000234300138722,0.009886546093536768,0.001465582285646519,5.064956962768539e-05
7,0.0002062860786099918,2.885387971278259,0.19643372989256724,0.009833395721297307,0.0005000234300138722,0.009852811919501703,0.0014272377334157357,4.696265206179047e-05
8,0.00013443380909545035,2.6631492522299127,0.18592347459127093,0.009812378713113959,0.0005000234300138722,0.009515722231095385,0.0013709947513007208,4.3587252281651625e-05
9,9.840455282496158e-05,2.54446578125982,0.1852333556559042,0.009834865588373015,0.0004998340039007241,0.009497711464347398,0.0013410626920785079,4.113560728561407e-05
10,7.219311368576849e-05,2.40989562501122,0.1805597457946709,0.009843282608280242,0.000499748102313683,0.009358721446844808,0.0013104473971556074,3.886889888224468e-05
11,5.153301278824074e-05,2.220626171875,0.18073015889137115,0.009838323766154292,0.0004997461501764708,0.009356875474888978,0.001286808958823342,3.7101061761858624e-05
12,3.6999856759697045e-05,2.3956503125000017,0.18062217665369792,0.00986164050985892,0.0005000546824548755,0.009343763115213915,0.0012598019687507537,3.5143185993502635e-05
13,2.9531439395213965e-05,2.1124155468754138,0.18059148760222413,0.009866726729425417,0.0005000214768011686,0.009332236523150971,0.0012394157358722277,3.3727632710934946e-05
14,2.7027028772863558e-05,1.990371406250767,0.18046561125548533,0.009870793737979878,0.0005000214768011686,0.009309135069595399,0.001217767170851316,3.244682577367657e-05
15,2.5781766835279994e-05,1.935851640625124,0.18046032425447964,0.009872991776592519,0.0005000917972656356,0.00928823120283305,0.001199501090982681,3.132673104275039e-05
16,2.441357444860676e-05,1.9266536718750242,0.18055304545970285,0.009874688842891582,0.0005000917972656356,0.009270053513753006,0.001183169350830248,3.0297686891070324e-05
17,2.277964097932757e-05,1.8020894531288485,0.18048182569110072,0.009872336170000747,0.0005001250075891995,0.00925570690723206,0.0011684443993688464,2.94352360885948e-05
18,2.1588909188115698e-05,1.9534367968750188,0.18033594820061985,0.009870427445789929,0.0004999765550145882,0.009238422847639734,0.0011497700465156583,2.842060294962728e-05
19,2.0959567938496966e-05,1.8132940884643471,0.17948748274683426,0.009875248157073396,0.0004999765550145882,0.00920309009401933,0.0011359732497471717,2.7596275673168505e-05
20,2.025341131489508e-05,1.7442199218750143,0.1794948446890925,0.009875672493259255,0.0005001396599036596,0.009193424738482978,0.0011226357013390655,2.687704619707306e-05
