iteration,d_loss,g_loss,k1,d1
1,0.46386290043592454,0.7977997820889949,0.19999862714207484,0.009999875656281122
2,0.15767686814069748,0.9173895203989744,0.19999774594161537,0.009999686704660317
3,0.03604344252186517,0.9902234584365786,0.1999974079827174,0.009999605651250808
4,0.007379378250334412,0.9973944825516269,0.19999746592914477,0.009999624633080111
5,0.0028323047561571004,0.9998964202805597,0.1999974604090316,0.00999962436968982
6,0.001617810777388513,0.9991272008389747,0.1999974464037352,0.009999622664981288
7,0.0011976585362572223,0.9994109172081808,0.19999742727365447,0.009999617620451822
8,0.000976814443129115,0.9999171626722371,0.19999742828784275,0.009999615835334279
9,0.0007915559463851553,0.9998956057054538,0.19999742973793727,0.009999615761925512
10,0.0007754616115042673,0.9999657049784402,0.19999743596183248,0.009999614098828356
11,0.0007440628425683827,0.9997996551834676,0.19999743359714622,0.009999613097166944
12,0.0007220753568819621,0.9998389143508999,0.1999974283617939,0.009999612178249004
13,0.0007133344220670147,1.0000852004607195,0.19999742817246205,0.00999961215812488
14,0.0006750525802090123,0.999668301214776,0.19999742125576958,0.009999610825739524
15,0.0006874964499729685,0.9996111604421842,0.199997411125904,0.00999960919366167
16,0.0006798259982712226,0.9998931239528197,0.19999740610292582,0.009999607979062243
17,0.0007062179254717193,1.0000287620575963,0.19999740663714466,0.009999607627564107
18,0.0006965635749414408,1.0000631511104057,0.19999740618633152,0.009999607597861948
19,0.0006947879880989113,0.9998306918251817,0.19999740317777656,0.009999605430489715
20,0.0007135910040363213,0.999917264141771,0.19999739287019103,0.009999602688410665
21,0.0006981878838684809,0.9997986468702578,0.19999739151684934,0.00999960140589821
22,0.0006992770857565726,0.9998590751735121,0.19999737615092972,0.009999599144592449
23,0.0007066127345509206,0.9997803021855582,0.19999737178452248,0.009999597946769403
24,0.0007010789815467434,1.0000333797492968,0.19999737154987995,0.00999959792644471
25,0.0007019553990069065,1.0000453439883477,0.1999973711940251,0.009999597854870186
26,0.0006952781629104933,0.9999224634097476,0.19999736322957343,0.009999596606897096
27,0.0006972797082400777,1.0000894623029002,0.19999736387364686,0.009999596419848291
28,0.0006774428322195921,1.000163267619712,0.19999736502717538,0.009999596587759507
29,0.0006647815570958253,1.0000681447958613,0.19999736497496584,0.009999596521343156
30,0.0006723849214904476,0.9999869544771203,0.19999735936805157,0.009999595871336994
