iteration,d_loss,g_loss,k1,d1
1,0.6422819405794143,0.47837189171314237,0.1999998526812142,0.00999996202184022
2,0.645421177148819,0.46798332102656365,0.1999997669788764,0.009999922943573061
3,0.6386699755986531,0.5074543665599823,0.19999999370706087,0.009999921461252843
4,0.6221138745546341,0.591009289367199,0.1999992659839748,0.010000093001935235
5,0.5911369562149048,0.5598709594750404,0.19999905355641662,0.010000012041999217
6,0.5691188389062882,0.6226167031216622,0.19999883552651843,0.00999990297532661
7,0.5430945318937301,0.6451626125407219,0.1999986588925979,0.009999793349696622
8,0.5175004303455352,0.6720977586650848,0.1999983495930579,0.009999667481747493
9,0.4902247305427278,0.691940553226471,0.19999822026865785,0.009999552990610842
10,0.46500676827771326,0.6897376043343544,0.19999816262588474,0.009999433217363839
11,0.43985702097415924,0.6911995017457009,0.1999959190522697,0.009998946004051277
12,0.4121509282125368,0.6883615278506279,0.1999953873915857,0.009998784971162637
13,0.39907213019000165,0.6807398327994346,0.1999951329328708,0.009998699071017959
14,0.3787161794304848,0.738509036347866,0.19999445074913116,0.00999849189095698
15,0.3580173125863075,0.7743248099708557,0.19999393343142158,0.009998272280469131
16,0.3375956861810251,0.8028253748381138,0.1999949431470922,0.009998192893554867
17,0.31579893504579865,0.870274905424118,0.19999457332230244,0.00999801132431539
18,0.29231855844457943,0.7778742069149017,0.19999178875106455,0.00999792178270363
19,0.2724117955336204,0.7240219288897515,0.1999902840559105,0.009997427610508078
20,0.25403189132256165,0.8303906607615947,0.19999013144384223,0.009997410321920587
21,0.23840973930699483,0.7634266472268104,0.19998574794964477,0.009996997093698584
22,0.22071987251440683,0.8986769775497914,0.19998506349907827,0.009996804819113778
23,0.20274162650108338,0.9164198811548948,0.1999836190762948,0.009996724662873489
24,0.18493245257996022,0.8123071567857265,0.19998233742141328,0.009996330364286007
25,0.1691067124990856,0.9701157921528816,0.1999820424328113,0.009996271259412187
26,0.14765913556603824,0.9254404184871912,0.19998148999154633,0.009996197297013308
27,0.13079346430798372,0.9523762820917367,0.19998108175205873,0.009996056449996878
28,0.11439155571554838,0.893956581414938,0.19997981318770836,0.009995940809960038
29,0.10397257453909045,0.9222992083466053,0.1999793954810538,0.009995973112575066
30,0.09206751367077233,0.9654135391843319,0.1999792348981339,0.009995864549436816
