iteration,d_loss,g_loss,stiffness_k,damping_d
1,0.7004154115915299,0.6649887102556229,0.3999260557795235,0.009996043105633259
2,0.6985344588756561,0.6377121014404297,0.4000013028744221,0.010000661661668638
3,0.6967873851458231,0.6124440717291832,0.40000161605505774,0.010000689019306216
4,0.6956941768527031,0.604514477288872,0.4000602984155813,0.01000239375431755
5,0.6936445966362953,0.6144561606931687,0.4000984221363696,0.010004369524152248
6,0.6925997018814087,0.6200857999438047,0.4003230199871152,0.010038843674826013
7,0.6912606227397918,0.6209921654587984,0.40013465898302913,0.01003388649027554
8,0.6892980515956879,0.6182695300455392,0.4000821689577285,0.010031179155958673
9,0.6877720696585519,0.6169346891504526,0.40019530588227425,0.010032181159719945
10,0.6865174191338674,0.6113378629279137,0.40105397822613503,0.010061652488173797
11,0.6850413531064987,0.6263229165971279,0.40104963689890105,0.010061390421973578
12,0.6815089179409874,0.6248888293838502,0.4026423681148629,0.010096047363100324
13,0.6703922145896488,0.5989666330033541,0.4018435046449603,0.0100670968204908
14,0.6723135483264924,0.6175550792483986,0.40121031031065446,0.010042712353269874
15,0.6744403374195099,0.606503578286171,0.4010311847669286,0.010035052963489681
16,0.6720591095360842,0.6024808152261376,0.39967482633313645,0.009973599727577775
17,0.6612671782573064,0.6127775658251345,0.3978371873639866,0.009819638831199667
18,0.6468288456400235,0.5980422763645649,0.3975274561562392,0.009726503666919286
19,0.5930927728231137,0.5777020716734975,0.3988121648102029,0.009828850136305408
20,0.6379186247076307,0.5753960631018132,0.3992269082966463,0.009837823636516967
