iteration,d_loss,g_loss,k1,k2,k3,d1,d2,d3
1,76.07613983750343,15.861611250000001,0.19913313408742592,0.00988758970376449,0.0004951138746564031,0.009961791929295869,0.0018953231810061415,0.00016046990690123862
2,46.142615127563474,11.715035,0.19448527029274726,0.009782937340269074,0.0004951138746564031,0.009702408517820883,0.0018296339701939807,0.00013905534982474723
3,14.899572822451592,10.80275823779136,0.19607246547700535,0.009784195868405171,0.000494571034614121,0.009671204386629178,0.0018132920694326677,0.000123480183240479
4,0.4207942701807042,10.663138541864019,0.19790693609065585,0.009745904510789374,0.000494571034614121,0.00979567809273223,0.0017779393670347289,0.00010900589265606006
5,0.36056732274591924,7.931901363988156,0.1978455509969501,0.009711852019626302,0.0004938358167389072,0.009813645339873915,0.001752868214926897,0.00010151948778346228
6,0.306753635853529,7.21847202907119,0.1976994368979622,0.009705388728749173,0.0004938821297317513,0.009689288870331882,0.0017237273042084087,9.437050113844767e-05
7,0.25506121784448627,7.087651219114327,0.19744370219061355,0.00972170152193402,0.0004938821297317513,0.00969192964959353,0.001705148741834744,8.886212557732071e-05
8,0.21897730454802514,6.1404603302266985,0.19741864499907213,0.009724807726086493,0.000494056549630279,0.009722238334896657,0.0016929446098966554,8.379357554001597e-05
9,0.18876109219023157,6.50786252687111,0.1981052370683662,0.009720461407353755,0.000494056549630279,0.009774886680249634,0.0016840793383301157,7.950247886991117e-05
10,0.15302499447550094,5.749227082011501,0.1981538751125179,0.009727959445816427,0.0004942632782778216,0.009727199977704852,0.0016594178727838986,7.54960317166007e-05
11,0.11952371345832943,5.451901320950208,0.19925831294476673,0.0097474743045043,0.0004942632782778216,0.00973026152881693,0.0016477500542107656,7.218687886532541e-05
12,0.09187690634648282,5.4909857271802425,0.19970699797043567,0.009740353680636788,0.0004942632782778216,0.009724781108621256,0.0016334900773455749,6.923646884247846e-05
13,0.06330139545930755,4.538404693431492,0.19978629806371706,0.009736608948996068,0.0004942710078999816,0.009712522861359835,0.0016185896671567321,6.675816962210349e-05
14,0.04586159872822463,4.056268797807098,0.1931743842865712,0.00959514724439179,0.0004942710078999816,0.009623005471027887,0.0015549510209102316,6.419295027892315e-05
15,0.03580059404484927,4.223530938497143,0.19309403750979393,0.009597602565547309,0.0004942517008075537,0.009609407557052314,0.001540643069381631,6.202478238513595e-05
16,0.023788502469489516,3.718997500930797,0.1929044308569041,0.009604897265019539,0.000494321209840163,0.00960032795596879,0.0015291971751164488,6.03451690875278e-05
17,0.017261201802951594,3.7889771875401412,0.19366208515800779,0.009606998566161849,0.0004945249662249496,0.009603140964029278,0.0015160379159630342,5.8770353566572946e-05
18,0.013051485693237433,3.3339234375316993,0.1937256409566293,0.009608537310244074,0.0004945124100863962,0.009608778836859374,0.0015057670646685154,5.7382596032264655e-05
19,0.009927695489918384,3.9923937500174307,0.19314873009288955,0.009609119094847223,0.0004944477027381383,0.009590442086533623,0.0014885586537004155,5.559387779484869e-05
20,0.007773661890025453,3.3089015625005187,0.19295379358138998,0.009611380882187485,0.0004944443227360794,0.009578629896211728,0.0014781938938786812,5.428785964458814e-05
