iteration,d_loss,g_loss,stiffness_k,damping_d
1,0.6057580009102821,0.6366790552094579,0.37010276924451907,0.009242983062653734
2,0.5162618607282639,0.582280721886158,0.36495219930100475,0.009017195989902305
3,0.5228860750794411,0.48740167226314546,0.32897012748846427,0.00786556505744631
4,0.5511910080909729,0.8222106645822524,0.3285105393280045,0.00781785683495064
5,0.38819631934165955,0.8513704947829247,0.3306445661290262,0.007807527936988665
6,0.2567433103919029,0.9004982819503545,0.42882188509734287,0.007934897436192244
7,0.1556393936276436,0.6942664512884617,0.29298065157385483,0.005480373225451513
8,0.16114548866947492,0.9506718622335791,0.2934341211794146,0.005563422140446356
9,0.10407473115316992,0.9283553772892058,0.2903616890031117,0.005662533582360957
10,0.06736589317609157,0.962193293660283,0.29724894072605046,0.005717063439998605
11,0.048031381046166645,0.9886606212452799,0.3001025472980702,0.005756301086751197
12,0.10446444442754406,0.9995297886600765,0.3002158422416189,0.005756072920256587
13,0.08086560817124942,0.8680973647975921,0.3072843270587953,0.005749111572318667
14,0.040253595188260084,0.9983885129658878,0.3085828558555999,0.0057663615563095585
15,0.03831364865414798,0.9985714713888895,0.30909599059588333,0.005767438956795527
16,0.030521728669885884,0.9999063962582929,0.30908883114971614,0.005767557703748031
17,0.025620161491679026,0.9776833395810425,0.3101918933108202,0.0057864476962666625
18,0.02276985969316835,0.9998463170530624,0.31021903485665575,0.005786724169129132
19,0.022769723947231583,0.9994534392717062,0.31004598103685915,0.005786027081479196
20,0.017472732376440293,0.8858955694383382,0.314033284292199,0.005812203877125923
