iteration,d_loss,g_loss,k1,d1
1,0.7249920785427093,0.5112820835828781,0.20000000712335125,0.010000002931571437
2,0.7162570953369141,0.5263930347585678,0.20000000627005113,0.009999997493076646
3,0.7025006194909413,0.5469667869615554,0.19999999576032168,0.009999985945955862
4,0.6749256387352943,0.5985540831017494,0.20000017939837875,0.009999858892572109
5,0.6144738599658013,0.6596498074269295,0.199999946089275,0.009999784226999061
6,0.5058108413219452,0.7671404761528969,0.19999986367421024,0.009999751589290217
7,0.39259941041469576,0.8206218923139572,0.19999980759015992,0.009999745007988486
8,0.2938782314459483,0.8566973689949513,0.19999979378985064,0.009999734832563075
9,0.19683971745627266,0.8856708581089974,0.19999976413293674,0.009999734833153147
10,0.13555497601628302,0.9078860572052002,0.19999976422523447,0.009999733643568437
11,0.09885548986494541,0.9257475671434402,0.19999976501693223,0.009999729349708494
12,0.07258994674517048,0.9408728904521465,0.19999974387811129,0.009999725740899062
13,0.05489159313340982,0.9541318316718936,0.19999968833458864,0.009999721065716036
14,0.04171614777296781,0.9655662238353491,0.19999968878640606,0.009999719761784662
15,0.03175856124609709,0.9730689224450291,0.19999968884929634,0.009999719781125831
16,0.024832001142203807,0.9792221947667002,0.1999996887636297,0.009999719739682021
17,0.01947026931059857,0.9840743949827552,0.1999996888026334,0.009999719431253022
18,0.01563071489023666,0.9874364188957214,0.19999968876877056,0.009999718832017604
19,0.012769203439641458,0.9899857285448909,0.19999968854872918,0.0099997187850175
20,0.0103791818089251,0.9919189784441144,0.1999996885908137,0.009999718738690724
21,0.008774073964117893,0.9932668019751831,0.199999688858237,0.0099997187008013
22,0.007502813395112754,0.9942628710868955,0.19999968882120023,0.009999718653307605
23,0.006432853542889158,0.9950720020721853,0.19999968878344818,0.00999971860365219
24,0.005537583300611004,0.9957841735047475,0.1999996949093173,0.009999718053865304
25,0.0047651455436340156,0.9964534159405343,0.1999996951124338,0.009999718034605538
26,0.004139880256672554,0.996920081730336,0.19999969511307547,0.009999718015415111
27,0.003614429785456094,0.9972964719774946,0.19999969490393701,0.00999971800247191
28,0.0031441987173533754,0.9976514426260441,0.19999969487271263,0.009999717945164036
29,0.0027675795491392675,0.9979345817356371,0.19999969483256805,0.009999717907067914
30,0.002421960558276623,0.9982185101391654,0.1999996948478762,0.009999717868310384
