iteration,d_loss,g_loss,k1,d1
1,0.6860998749732972,0.6443192775440216,0.19999977633846394,0.009999863672589693
2,0.6763626277446747,0.673623772828579,0.19999956718134043,0.009999689587702202
3,0.6592820366223652,0.691040608894825,0.19996153241952502,0.009999410545020083
4,0.6350512437522411,0.7123825088906288,0.19996031925860777,0.009999211972352831
5,0.6092853710055351,0.711768296637535,0.19995844390164977,0.009999036698190633
6,0.5751337426900863,0.7293414221692085,0.19995809249831917,0.009998456347888405
7,0.539542388319969,0.7357580340170861,0.19995665119691736,0.009998162944693006
8,0.48563102831443156,0.774407931125164,0.1999560585068335,0.009997581141344478
9,0.41563888170889446,0.8032094228827953,0.19995505308551062,0.009996892260458112
10,0.3318220494048937,0.8377772666764259,0.199952713086701,0.009995785886335895
11,0.2434445543214679,0.877906559560299,0.19994805476336613,0.009994522849638773
12,0.1684166331258085,0.9197806824350357,0.1999446716181022,0.009993845277479436
13,0.11156537913613848,0.9448343049359321,0.19994360446829046,0.009992674761989374
14,0.07350939281284809,0.970714188156277,0.19994118174465336,0.00999201245836315
15,0.04945650182664395,0.971039696046263,0.19993925986316718,0.009991326917918297
16,0.03432394520125606,0.9764977807042002,0.1999347247156458,0.00999044455486818
17,0.024326598698583744,0.9799729724566638,0.19993033499498852,0.009989814436969844
18,0.017829156985195972,0.9923429937988519,0.1999300476581011,0.009989711661053792
19,0.013421836846436446,0.9925198313901201,0.19992948116969297,0.009989408324953403
20,0.010602093694199408,0.994767614015527,0.19992893219577287,0.009989193975929088
21,0.008505732366549118,0.9970258119472116,0.19992891512365857,0.009989164239897548
22,0.006898088855668903,0.9950418614044786,0.19992795385048315,0.009988900766436057
23,0.005889582907160123,0.9973014049282112,0.19992746985533197,0.009988873256515464
24,0.00512386900227284,0.9960616355421766,0.19992611579664704,0.009988717228607972
25,0.0045325159615672685,0.9972252833893709,0.1999243293881821,0.009988329823803458
26,0.004069302955587559,0.998430383757744,0.19992411043633315,0.009988228221580717
27,0.0036970723303966224,0.9987229127557855,0.19992388009533432,0.009988158341067302
28,0.0033988445862441472,0.9990258003410417,0.19992388440039158,0.009988135340278547
29,0.003224287968815157,0.9991328086563712,0.1999238944182071,0.009988116031489141
30,0.00304815226001665,0.999075567654646,0.19992369363983106,0.009988082189331381
