iteration,d_loss,g_loss,stiffness_k,damping_d
1,0.6894278675317764,0.43027127443552016,0.4175152002756176,0.010757732534216342
2,0.4714105181396008,0.6778694155371189,0.4598663355735222,0.013619660771899413
3,0.11180960318694513,0.1502354410046339,0.16208450749237438,0.00904979858565309
4,0.7183271068148315,0.6618460436439514,0.1632232876387054,0.009001082003384129
5,0.3609699621796608,0.9179022742620111,0.1635440322508016,0.008948980984991884
6,0.16085147723555565,0.9673974079278111,0.16351504463506883,0.009053213841458773
7,0.03881986571475863,0.9941544702855125,0.1635788844450664,0.009056795801904927
8,0.01979758048740526,0.9893332162599265,0.16342442326299889,0.009026661469732494
9,0.015570688251006817,0.9992191752890265,0.1634751600701007,0.009030280815348686
10,0.007735268121385681,0.9985427253798396,0.16334021179358174,0.009026223430046248
11,0.013927265553502367,4.52017198001704e-05,0.14964935497586637,0.012969835293860836
12,1.2106015168544317,0.5127288925909996,0.24582633938206352,0.22144652327601996
13,0.0014358167612550056,1.4025734765625,0.24561781157857004,0.21104260587726761
14,0.0002311454215669073,1.3457298828125,0.24544421348709905,0.20290775013658413
15,,inf,0.2454442134870991,0.20290775013658413
16,,inf,0.24544421348709916,0.20290775013658413
17,,inf,0.24544421348709922,0.20290775013658413
18,,inf,0.24544421348709927,0.20290775013658413
19,,inf,0.24544421348709933,0.20290775013658413
20,,inf,0.24544421348709938,0.20290775013658413
