iteration,d_loss,g_loss,stiffness_k,damping_d
1,0.6571979016065598,0.5709713608460129,0.3522529671268812,0.005624924254267303
2,0.6797855705022812,0.4986907169632614,0.23968608511906087,0.0034690799529825712
3,0.5987701465686162,0.5028608114942908,0.47364762533183297,0.003222658484266835
4,0.591880688816309,0.32984173315286636,0.23841869424818404,0.0021790640656876572
5,0.32027386464178564,0.405406113152355,0.23623716435394462,0.002068415043731115
6,0.19013860244303943,0.7812022373461723,0.25633926851744715,0.0019836218658566556
7,0.15488056517206134,0.9770091714219749,0.2684573803225384,0.001976045220516048
8,0.22313616224564609,0.11123257841214537,0.283713311019106,0.0021627066049793326
9,0.3357091593955244,0.79690149761457,0.2399427956738098,0.0017580716333276693
10,0.13241419003212024,0.980748404712677,0.2471339784285557,0.00173183933499985
11,0.08536880282335915,0.005715640002954751,0.3849320074885774,0.0032130861223378187
12,0.8406598700417411,0.8232380774135143,0.42056632860000426,0.0033431759427560007
13,0.49159065087636317,0.1461467361742258,20.085536923187668,0.05411380749761312
14,3.862091022602254,1.0192796337890626,0.0006962683646002705,0.0004266453315634508
15,0.0003035424189874902,1.0176825231933593,0.0007349854976466276,0.00046419790143229146
16,0.00022861777582544493,1.0105145056152345,0.0007872278786892937,0.0005345458673707749
17,0.00016416374085868787,1.0115348181152344,0.0007929776061207911,0.0005519970955213584
18,4.245094660291215e-05,1.0104977880859376,0.0007952517660088629,0.0005546813799678523
19,3.1306257453532175e-05,1.0090807318115234,0.0008005197701237952,0.0005631120872695826
20,2.4340289097121317e-05,1.0095718756103516,0.0008292486239324733,0.0005597499875617371
