iteration,d_loss,g_loss,stiffness_k,damping_d
1,0.6982908546924591,0.6321793265223503,0.40064249366192634,0.009996957720853065
2,0.7023240804672242,0.6367481219141186,0.4006507549011338,0.009994721545763816
3,0.6985086560249327,0.6337754098325967,0.40156704429862555,0.010034816255991777
4,0.7019273847341537,0.6270974469353259,0.4020589849681108,0.010058338400223908
5,0.6961434468626976,0.6128670571762324,0.4061592313582652,0.010089602496064396
6,0.6958045196533204,0.6071674609267712,0.4050312554661882,0.010056650975979834
7,0.6946895515918732,0.6165805319857597,0.40614535593583045,0.01007054219747619
8,0.6939502884944281,0.6117564740905166,0.40654232701903614,0.010004891843069456
9,0.6950648920876639,0.6093680811068416,0.4064076416127189,0.00999791791166242
10,0.6935773176806314,0.6179151192890108,0.4012261688640119,0.009972403287009268
11,0.6895978830754756,0.6183434468448162,0.4010527266706342,0.009961102656965096
12,0.6856297201580471,0.6199473476146161,0.40100195941205274,0.009958393547488707
13,0.6796312914954292,0.6208119244614243,0.3995476937754375,0.009908744467424728
14,0.688840903043747,0.6004411829070747,0.39984661948268935,0.009774923332107048
15,0.6640339356660843,0.6077765762245655,0.39938048352546135,0.009730064345937397
16,0.592866680838845,0.5420955165266991,0.4362739271449073,0.009271245840126643
17,0.5339209026346605,0.5364767912048102,0.3580469161282333,0.007608668530150183
18,0.6287465656797091,0.6109460689711571,0.3574314882536254,0.007633380594301947
19,0.6178785489155696,0.602588195579052,0.23774423156245145,0.005045625235904204
20,0.6225809976458551,0.6328358947077394,0.2378565861117951,0.004968756299588786
