iteration,d_loss,g_loss,k1,k2,k3,d1,d2,d3
1,0.6828678160905838,17.911423878941537,0.19533168483478622,0.009916566016413449,0.0005000000000000001,0.009856983087003014,0.0019642322759438487,0.00015907695066250067
2,0.6769794881343841,13.309071681969167,0.19448651595669847,0.009898302880127774,0.0005000000000000001,0.009905578872542904,0.0019182635681249793,0.00013704561310467483
3,0.6694293777147929,11.056271017878057,0.19484467013036874,0.009842819675909347,0.0005000000000000001,0.00984236253385981,0.0018714715990182564,0.0001209177651619447
4,0.6552131235599518,9.893813222744466,0.19619344076561412,0.009839590530513783,0.0005000000000000001,0.009887100556100958,0.001853610259413936,0.00010896350738446821
5,0.6404452219605445,7.882737419638635,0.19507923370047126,0.009848896416229063,0.0005005901918024989,0.009840056000448575,0.0018227995075191584,0.00010094260561025415
6,0.616212432384491,7.658489069647789,0.1947107604563765,0.009839513659012807,0.0005007799044942532,0.00973366318012021,0.0017886958725120228,9.298106256036524e-05
7,0.5778431749343873,6.654934264438153,0.19552927601969947,0.009817242588000279,0.0005007799044942532,0.009696506995709779,0.0017503882297823913,8.680778436956097e-05
8,0.5151669681072235,5.608524989383221,0.19533773239610824,0.009804231866123657,0.0005007799044942532,0.009678893986263738,0.001730701358832909,8.21648385916676e-05
9,0.42700501041752964,5.42256936008215,0.19450235025967771,0.009821877436656301,0.0005016611894089044,0.009657681610795117,0.001705707913337325,7.801466438591567e-05
10,0.3475740743534906,5.11662348952055,0.19404895237869635,0.009842679226986291,0.0005017384365865586,0.009665931441909578,0.0016864199746381195,7.459284950017856e-05
11,0.2783608725294471,4.908058300255537,0.19359291383868524,0.00983537453373216,0.000501827644047474,0.009645530894980256,0.0016654169109484602,7.114590582794282e-05
12,0.2184352868133121,4.846988484665156,0.19366765054623078,0.009835405880373833,0.0005020178257064597,0.009644857208667135,0.001646235520704085,6.835205335825504e-05
13,0.17636256366968156,4.74246881162405,0.19386055849249523,0.009847332248945193,0.0005024703402493119,0.009649217465193446,0.001630558145834162,6.575067644624983e-05
14,0.14605102777481077,4.1831816405111555,0.1939698768345105,0.009849710073810124,0.0005024850612757025,0.009644600232333676,0.0016174029836801742,6.369060758200863e-05
15,0.12290884636342525,4.424799644765258,0.19351992735571094,0.009836662048694378,0.0005027443448515279,0.0096450797051195,0.001597206153021794,6.140524685236632e-05
16,0.10178687294775787,3.9898624165034295,0.1936411084693417,0.009831066926746311,0.0005025361969613165,0.009636504012055402,0.0015809220061156054,5.95873743729146e-05
17,0.08435482972611982,3.7077841165053846,0.19307534672937582,0.009824214477054555,0.0005024455604957311,0.009618086635445834,0.0015662532417752566,5.79156988675753e-05
18,0.07061330731958151,3.4879242257386447,0.1924834936606874,0.009821646015381505,0.0005024995428888686,0.009592367702505237,0.001553966038451567,5.650122299371135e-05
19,0.05941075186889906,3.617402085107863,0.19292950025058594,0.009824960611990452,0.0005024907070418451,0.009585991429530602,0.0015424904269564458,5.500752063008665e-05
20,0.049968508843864716,3.7417370309087636,0.19278000636980588,0.0098260165419301,0.0005023602117261099,0.009593412767419575,0.0015295565100412517,5.356883679012802e-05
