iteration,d_loss,g_loss,k1,d1
1,0.6981036752462387,0.6344471782636643,0.2000080405540205,0.009999767349684538
2,0.6910985261201859,0.6386748385715485,0.20000583874165115,0.009999213495787229
3,0.6795356889565786,0.6517484409594536,0.20000415416501804,0.009998675683220416
4,0.6497919574379921,0.6659899215602875,0.20006275227849468,0.010011106745907368
5,0.5789409093558788,0.7554714582443237,0.20005768051859416,0.010009608152580543
6,0.4534800964593887,0.8277640095794201,0.20004818681924466,0.010006647648744146
7,0.32310783147811895,0.8731016854465008,0.20004709568710394,0.010006056815457286
8,0.22540011902650198,0.9029019985717535,0.2000427546298023,0.01000584548622155
9,0.1498143967773233,0.928662777915001,0.20004229050302413,0.010005888003152778
10,0.10337608797209603,0.9458868906387686,0.20004139693189324,0.010005976557972505
11,0.07329940982162952,0.96069868344903,0.20005281949766043,0.010006649662558553
12,0.0523389137039582,0.9709186837486923,0.20005125936493018,0.010006510315591292
13,0.03900389468504323,0.9769855352734029,0.20005050792654197,0.010006316354439247
14,0.030486519131809477,0.9805356560872495,0.20005046843818436,0.010006346805007461
15,0.02468857817351818,0.9831652591614425,0.20005045888338407,0.01000633546153706
16,0.020500136065212164,0.9859067767143249,0.2000504224386203,0.010006323442890987
17,0.017148293803135553,0.9881828423153609,0.20004980838153644,0.010006311234615612
18,0.014513127187577385,0.9900127541279048,0.20004979989172172,0.010006306841963951
19,0.012396787321911407,0.9913098668053001,0.20005203411650047,0.010006245370204293
20,0.010578617453575134,0.9924530207172408,0.2000520167996416,0.010006261853991307
21,0.00912872965979789,0.9936910002723709,0.20005200451416566,0.010006254662477163
22,0.007873979974538089,0.9945075174264982,0.20005200318445004,0.010006247037558105
23,0.006849254503225287,0.9951804464573041,0.20005198529095514,0.010006236236195796
24,0.006012778502190485,0.9957613425862417,0.20005190648376922,0.010006230149228516
25,0.005234447951592943,0.9963147827382572,0.20005189575252197,0.010006223422691115
26,0.004574945475906134,0.9967499856171385,0.20005189015400687,0.010006208953927792
27,0.004010888022215415,0.9971825633227266,0.2000518523803855,0.01000619259156119
28,0.003527239158651546,0.9975422330283373,0.20005184449655922,0.01000618282322037
29,0.003090532867875146,0.997900729782898,0.2000519440679197,0.010006194434401547
30,0.002724074379075319,0.998088468563687,0.20005193113733946,0.010006182323256878
