iteration,d_loss,g_loss,k1,d1
1,0.6899412751197815,0.5441101,0.48947296970794124,0.000990626672217998
2,0.6940659314393998,0.54486537,0.5145472090629213,0.0009886010324645594
3,0.6763653715451557,0.56835866,0.5270409121834192,0.0009674985864158727
4,0.639648063480854,0.57052195,0.5214632221034248,0.0009648782740451726
5,0.5943185806274414,0.53956085,0.4996235512429192,0.0009127225757179642
6,0.6482288479804994,0.53873837,0.4787857905242509,0.0009075206852783864
7,0.5886246299743652,0.5874639,0.4982624682209486,0.0008890283951779887
8,0.5983714883526167,0.6079298,0.44414435036725597,0.0008752527997721662
9,0.5296759997095382,0.59725606,0.4300290998713074,0.0008424742859550213
10,0.45955374666622706,0.8977399,0.4297472432320611,0.0008435043304312825
11,0.41743254028260707,0.5852342,0.4510401681245328,0.0008542885276721945
12,0.4565878069235219,0.45675233,0.4461840170676899,0.0009146649417267214
13,0.528536693751812,0.73636615,0.4218662855954133,0.0008851432136608059
14,0.44459105536341675,0.74196976,0.4293437839711454,0.00093507788605662
15,0.43033551812171933,0.62550956,0.416729054986428,0.0009172926184441082
16,0.3249609901823781,0.52542764,0.47922298541302993,0.0009584964332096104
17,0.4569213144481181,0.7088607,0.5006369722500037,0.0009820426079846455
18,0.37286235733578604,0.44920713,0.4657675826678312,0.000994926670009215
19,0.37935201875292346,0.6814416,0.440102489461537,0.0009770241311387415
20,0.32846066068325724,0.68398696,0.40743177476467607,0.0010139881972821127
