iteration,d_loss,g_loss,stiffness_k,damping_d
1,0.6916913270950318,0.5988638993251324,0.399625331928798,0.010003196445198906
2,0.6885916858911514,0.603806407199949,0.3996274184368837,0.009998363305824747
3,0.6857851445674896,0.5927457779312134,0.3994304261120413,0.011079568497781177
4,0.6918439224362374,0.5808824874937535,0.3980294966409105,0.010798930590630971
5,0.6804024741053581,0.5846413572382927,0.40174704224594476,0.010612910628685827
6,0.636100400686264,0.5368214995267987,0.38129815485257496,0.010033482625058685
7,0.691472499370575,0.561015096153915,0.3864390671470087,0.010327934169808636
8,0.6613187064727147,0.6110151290850341,0.3945602612496165,0.010943994667072684
9,0.5699784163917814,0.45997499164879324,0.14433102037687767,0.004253485446230061
10,0.6078967026301793,0.7645150054904819,0.14650478945266338,0.004309387007185829
11,0.29858555663377045,0.9059472262182832,0.14660847330596521,0.004311754194537187
12,0.18131121032767827,0.9362991900140047,0.1464282182243415,0.0043071430796684275
13,0.14383046535982025,0.9474067577409744,0.14608115275879982,0.004298619935554282
14,0.12282641913741828,0.9584300167933106,0.14585120074278543,0.004292135325043645
15,0.10102147061377761,0.9624844648206234,0.14587496661877322,0.004292676247301454
16,0.17362669465894048,0.9598899554130434,0.1454807599335459,0.004290097349917439
17,0.07694962800790867,0.9664720894443989,0.14531705284023694,0.004303183753913667
18,0.06390611881700656,0.9721559272335469,0.14473669674925804,0.004298775003473752
19,0.05648623730700749,0.9748933362577855,0.14488842634793062,0.004310306842440503
20,0.04660852867444711,0.9790072988519073,0.14454463523336514,0.004321480720464871
